Distrito;Sitio;IDEM;X crtm;Y crtm;Nombre común;Especie;Clasificación;DAP;H;Estado Fitosanitario;Inclinación del fuste;Cercanía al tendido eléctrico (m);Afectación de Aceras;Prodecencia;Riesgo General
La Asunción;Parques;14025;480961.7176;1103798.985;Higuerón;Ficus costaricana;Árbol;29.9211293;5;A;A;NA;NA;Nativo;ALTO
La Asunción;Parques;14042;480942.8418;1103799.106;Jocote;Spondias purpurea;Árbol;35.96901714;5.6;A;A;NA;NA;Nativo;ALTO
La Asunción;Parques;14063;480931.7881;1103765.1;Jocote;Spondias purpurea;Árbol;27.05634033;4.6;A;A;NA;NA;Nativo;ALTO
La Asunción;Parques;14174;480888.7214;1103773.587;Jocote;Spondias purpurea;Árbol;30.23943919;5;A;A;NA;NA;Nativo;ALTO
La Asunción;Áreas verdes;6179;482030.4789;1102329.475;Higuerón;Ficus jimenezii;Árbol;10;7.5;A;B;4;NA;Nativo;ALTO
La Asunción;Áreas verdes;6313;481744.7794;1102354.508;Guaba machete;Inga spectabilis;Árbol;11;8.1;A;B;4;NA;Nativo;ALTO
La Asunción;Áreas verdes;6988;481749.3297;1102357.204;Guachipelín;Diphysa americana;Árbol;17.5;8;A;B;1;NA;Nativo;ALTO
La Asunción;Áreas verdes;7033;481740.7073;1102352.044;Casuarina;Casuarina equisetifolia;Árbol;19;8;A;B;0;NA;Exótico;ALTO
La Asunción;Áreas verdes;7061;481755.0987;1102352.473;Guachipelín;Diphysa americana;Árbol;19.97;8.2;A;B;0;NA;Nativo;ALTO
La Asunción;Áreas verdes;7888;481750.6527;1102339.181;Mango;Mangifera indica;Árbol;11.43;7.5;A;B;6;NA;Exótico;ALTO
La Asunción;Áreas verdes;8226;481755.6605;1102263.989;Casuarina;Casuarina equisetifolia;Árbol;29.85;8.5;A;B;4;NA;Exótico;ALTO
La Asunción;Áreas verdes;8735;481741.7553;1102371.335;Casuarina;Casuarina equisetifolia;Árbol;35;8;A;B;4;NA;Exótico;ALTO
La Asunción;Áreas verdes;8865;481750.6977;1102262.981;Casuarina;Casuarina equisetifolia;Árbol;37;9;A;B;4;NA;Exótico;ALTO
